lookback,atr_threshold,total_return,total_trades,win_rate,final_equity
33,0.002,-0.09962017230197295,4,0.0,0.900379827698027
33,0.005,-0.09962017230197295,4,0.0,0.900379827698027
33,0.008,-0.09962017230197295,4,0.0,0.900379827698027
33,0.01,-0.09962017230197295,4,0.0,0.900379827698027
33,0.015,-0.09962017230197295,4,0.0,0.900379827698027
33,0.02,-0.09962017230197295,4,0.0,0.900379827698027
55,0.0,-0.1434805918022647,3,0.0,0.8565194081977353
55,0.002,-0.1434805918022647,3,0.0,0.8565194081977353
55,0.005,-0.1434805918022647,3,0.0,0.8565194081977353
55,0.008,-0.1434805918022647,3,0.0,0.8565194081977353
55,0.01,-0.1434805918022647,3,0.0,0.8565194081977353
55,0.015,-0.1434805918022647,3,0.0,0.8565194081977353
55,0.02,-0.1434805918022647,3,0.0,0.8565194081977353
57,0.0,-0.15982634632332526,3,0.0,0.8401736536766747
57,0.002,-0.15982634632332526,3,0.0,0.8401736536766747
57,0.005,-0.15982634632332526,3,0.0,0.8401736536766747
57,0.008,-0.15982634632332526,3,0.0,0.8401736536766747
57,0.01,-0.15982634632332526,3,0.0,0.8401736536766747
57,0.015,-0.15982634632332526,3,0.0,0.8401736536766747
57,0.02,-0.15982634632332526,3,0.0,0.8401736536766747
35,0.0,-0.16527734478952183,4,0.0,0.8347226552104782
35,0.002,-0.16527734478952183,4,0.0,0.8347226552104782
35,0.005,-0.16527734478952183,4,0.0,0.8347226552104782
35,0.008,-0.16527734478952183,4,0.0,0.8347226552104782
35,0.01,-0.16527734478952183,4,0.0,0.8347226552104782
35,0.015,-0.16527734478952183,4,0.0,0.8347226552104782
35,0.02,-0.16527734478952183,4,0.0,0.8347226552104782
37,0.0,-0.16527734478952183,4,0.0,0.8347226552104782
37,0.002,-0.16527734478952183,4,0.0,0.8347226552104782
37,0.005,-0.16527734478952183,4,0.0,0.8347226552104782
37,0.008,-0.16527734478952183,4,0.0,0.8347226552104782
37,0.01,-0.16527734478952183,4,0.0,0.8347226552104782
37,0.015,-0.16527734478952183,4,0.0,0.8347226552104782
37,0.02,-0.16527734478952183,4,0.0,0.8347226552104782
59,0.0,-0.17617218220500164,3,0.0,0.8238278177949984
59,0.002,-0.17617218220500164,3,0.0,0.8238278177949984
59,0.005,-0.17617218220500164,3,0.0,0.8238278177949984
59,0.008,-0.17617218220500164,3,0.0,0.8238278177949984
59,0.01,-0.17617218220500164,3,0.0,0.8238278177949984
59,0.015,-0.17617218220500164,3,0.0,0.8238278177949984
59,0.02,-0.17617218220500164,3,0.0,0.8238278177949984
39,0.0,-0.18797373118497285,4,0.0,0.8120262688150272
39,0.002,-0.18797373118497285,4,0.0,0.8120262688150272
39,0.005,-0.18797373118497285,4,0.0,0.8120262688150272
39,0.008,-0.18797373118497285,4,0.0,0.8120262688150272
39,0.01,-0.18797373118497285,4,0.0,0.8120262688150272
39,0.015,-0.18797373118497285,4,0.0,0.8120262688150272
39,0.02,-0.18797373118497285,4,0.0,0.8120262688150272
41,0.03,-0.1993111371613706,2,0.5,0.8006888628386294
43,0.03,-0.1993111371613706,2,0.5,0.8006888628386294
45,0.03,-0.1993111371613706,2,0.5,0.8006888628386294
15,0.03,-0.22115633059144313,3,0.0,0.7788436694085569
17,0.03,-0.22115633059144313,3,0.0,0.7788436694085569
19,0.03,-0.22115633059144313,3,0.0,0.7788436694085569
21,0.03,-0.22115633059144313,3,0.0,0.7788436694085569
23,0.03,-0.22115633059144313,3,0.0,0.7788436694085569
25,0.03,-0.22115633059144313,3,0.0,0.7788436694085569
9,0.03,-0.2438437216969681,4,0.0,0.7561562783030319
27,0.03,-0.25462221932383955,3,0.0,0.7453777806761605
11,0.03,-0.2589066016749517,4,0.0,0.7410933983250483
13,0.03,-0.2589066016749517,4,0.0,0.7410933983250483
47,0.03,-0.2603806170159998,2,0.0,0.7396193829840002
49,0.03,-0.2603806170159998,2,0.0,0.7396193829840002
51,0.03,-0.2603806170159998,2,0.0,0.7396193829840002
53,0.03,-0.2603806170159998,2,0.0,0.7396193829840002
7,0.03,-0.275749132602375,5,0.0,0.724250867397625
29,0.03,-0.2820035156642944,3,0.0,0.7179964843357056
5,0.03,-0.2867135825007632,7,0.14285714285714285,0.7132864174992368
31,0.03,-0.28715045861425426,3,0.0,0.7128495413857457
55,0.03,-0.32755704485609194,2,0.0,0.6724429551439081
57,0.03,-0.32755704485609194,2,0.0,0.6724429551439081
59,0.03,-0.32755704485609194,2,0.0,0.6724429551439081
33,0.03,-0.39008905638377556,3,0.0,0.6099109436162244
35,0.03,-0.42593212794685664,3,0.0,0.5740678720531434
37,0.03,-0.42593212794685664,3,0.0,0.5740678720531434
39,0.03,-0.4415412241658243,3,0.0,0.5584587758341757
