fast,slow,atr,total_return,total_trades,win_rate,final_equity
5,55,0.002,0.2920587252094029,5,0.6,1.292058725209403
5,55,0.003,0.2920587252094029,5,0.6,1.292058725209403
5,55,0.005,0.2920587252094029,5,0.6,1.292058725209403
5,55,0.008,0.2920587252094029,5,0.6,1.292058725209403
5,55,0.01,0.2920587252094029,5,0.6,1.292058725209403
5,55,0.015,0.2920587252094029,5,0.6,1.292058725209403
5,55,0.02,0.2920587252094029,5,0.6,1.292058725209403
17,30,0.0,0.28614498979241776,8,0.75,1.2861449897924178
17,30,0.001,0.28614498979241776,8,0.75,1.2861449897924178
17,30,0.002,0.28614498979241776,8,0.75,1.2861449897924178
17,30,0.003,0.28614498979241776,8,0.75,1.2861449897924178
17,30,0.005,0.28614498979241776,8,0.75,1.2861449897924178
17,30,0.008,0.28614498979241776,8,0.75,1.2861449897924178
17,30,0.01,0.28614498979241776,8,0.75,1.2861449897924178
17,30,0.015,0.28614498979241776,8,0.75,1.2861449897924178
17,30,0.02,0.28614498979241776,8,0.75,1.2861449897924178
13,30,0.0,0.28443797589106024,7,0.5714285714285714,1.2844379758910602
13,30,0.001,0.28443797589106024,7,0.5714285714285714,1.2844379758910602
13,30,0.002,0.28443797589106024,7,0.5714285714285714,1.2844379758910602
13,30,0.003,0.28443797589106024,7,0.5714285714285714,1.2844379758910602
13,30,0.005,0.28443797589106024,7,0.5714285714285714,1.2844379758910602
13,30,0.008,0.28443797589106024,7,0.5714285714285714,1.2844379758910602
13,30,0.01,0.28443797589106024,7,0.5714285714285714,1.2844379758910602
13,30,0.015,0.28443797589106024,7,0.5714285714285714,1.2844379758910602
13,30,0.02,0.28443797589106024,7,0.5714285714285714,1.2844379758910602
9,30,0.0,0.2824478308764242,10,0.5,1.2824478308764242
9,30,0.001,0.2824478308764242,10,0.5,1.2824478308764242
9,30,0.002,0.2824478308764242,10,0.5,1.2824478308764242
9,30,0.003,0.2824478308764242,10,0.5,1.2824478308764242
9,30,0.005,0.2824478308764242,10,0.5,1.2824478308764242
9,30,0.008,0.2824478308764242,10,0.5,1.2824478308764242
9,30,0.01,0.2824478308764242,10,0.5,1.2824478308764242
9,30,0.015,0.2824478308764242,10,0.5,1.2824478308764242
9,30,0.02,0.2824478308764242,10,0.5,1.2824478308764242
13,25,0.0,0.27256280443946035,10,0.5,1.2725628044394603
13,25,0.001,0.27256280443946035,10,0.5,1.2725628044394603
13,25,0.002,0.27256280443946035,10,0.5,1.2725628044394603
13,25,0.003,0.27256280443946035,10,0.5,1.2725628044394603
13,25,0.005,0.27256280443946035,10,0.5,1.2725628044394603
13,25,0.008,0.27256280443946035,10,0.5,1.2725628044394603
13,25,0.01,0.27256280443946035,10,0.5,1.2725628044394603
13,25,0.015,0.27256280443946035,10,0.5,1.2725628044394603
13,25,0.02,0.27256280443946035,10,0.5,1.2725628044394603
3,50,0.0,0.2720068434389191,7,0.5714285714285714,1.2720068434389191
3,50,0.001,0.2720068434389191,7,0.5714285714285714,1.2720068434389191
3,50,0.002,0.2720068434389191,7,0.5714285714285714,1.2720068434389191
3,50,0.003,0.2720068434389191,7,0.5714285714285714,1.2720068434389191
3,50,0.005,0.2720068434389191,7,0.5714285714285714,1.2720068434389191
3,50,0.008,0.2720068434389191,7,0.5714285714285714,1.2720068434389191
3,50,0.01,0.2720068434389191,7,0.5714285714285714,1.2720068434389191
3,50,0.015,0.2720068434389191,7,0.5714285714285714,1.2720068434389191
3,50,0.02,0.2720068434389191,7,0.5714285714285714,1.2720068434389191
23,30,0.0,0.27000914527098385,10,0.6,1.2700091452709839
23,30,0.001,0.27000914527098385,10,0.6,1.2700091452709839
23,30,0.002,0.27000914527098385,10,0.6,1.2700091452709839
23,30,0.003,0.27000914527098385,10,0.6,1.2700091452709839
23,30,0.005,0.27000914527098385,10,0.6,1.2700091452709839
23,30,0.008,0.27000914527098385,10,0.6,1.2700091452709839
23,30,0.01,0.27000914527098385,10,0.6,1.2700091452709839
23,30,0.015,0.27000914527098385,10,0.6,1.2700091452709839
23,30,0.02,0.27000914527098385,10,0.6,1.2700091452709839
11,40,0.0,0.2695824390121564,6,0.8333333333333334,1.2695824390121564
11,40,0.001,0.2695824390121564,6,0.8333333333333334,1.2695824390121564
